mode,selectivity,threshold,query_idx,query,strategy,recall_at_k,completeness_at_k,n_returned,candidates,gls_rho,lat_p50_ms,lat_p95_ms
uncorrelated,0.4993837051645507,500,14,বিশ্বকাপ ক্রিকেট,over_fetch,0.9,1.0,10,100,-0.01979173745931786,5.503366992343217,5.57181560434401
uncorrelated,0.4993837051645507,500,14,বিশ্বকাপ ক্রিকেট,iterative,0.9,1.0,10,40,-0.01979173745931786,14.449141977820545,15.070789074525237
uncorrelated,0.4993837051645507,500,15,খেলোয়াড় নির্বাচন,pre_filter,0.9,1.0,10,10,-0.03031173828072851,2095.0127500109375,2139.3554512120318
uncorrelated,0.4993837051645507,500,15,খেলোয়াড় নির্বাচন,post_filter,0.5,0.5,5,10,-0.03031173828072851,6.190420011989772,8.127544942544773
uncorrelated,0.4993837051645507,500,15,খেলোয়াড় নির্বাচন,over_fetch,0.9,1.0,10,100,-0.03031173828072851,6.401889957487583,6.650230608647689
uncorrelated,0.4993837051645507,500,15,খেলোয়াড় নির্বাচন,iterative,0.9,1.0,10,40,-0.03031173828072851,17.700167023576796,18.264024198288098
uncorrelated,0.4993837051645507,500,16,শেয়ার বাজার,pre_filter,1.0,1.0,10,10,0.020224273481123937,2134.989398997277,2135.0086598773487
uncorrelated,0.4993837051645507,500,16,শেয়ার বাজার,post_filter,0.4,0.4,4,10,0.020224273481123937,5.724587012082338,7.632397074485198
uncorrelated,0.4993837051645507,500,16,শেয়ার বাজার,over_fetch,0.9,1.0,10,100,0.020224273481123937,4.125203005969524,4.254147846950218
uncorrelated,0.4993837051645507,500,16,শেয়ার বাজার,iterative,0.9,1.0,10,20,0.020224273481123937,7.082942989654839,7.248685171362013
uncorrelated,0.4993837051645507,500,17,ব্যাংক ঋণ,pre_filter,1.0,1.0,10,10,0.074687337273782,2047.0259709982201,2113.0580494063906
uncorrelated,0.4993837051645507,500,17,ব্যাংক ঋণ,post_filter,0.6,0.6,6,10,0.074687337273782,5.129596975166351,5.7489545026328415
uncorrelated,0.4993837051645507,500,17,ব্যাংক ঋণ,over_fetch,1.0,1.0,10,100,0.074687337273782,5.390283011365682,6.120758119504899
uncorrelated,0.4993837051645507,500,17,ব্যাংক ঋণ,iterative,1.0,1.0,10,20,0.074687337273782,11.241508007515222,11.379028897499666
uncorrelated,0.4993837051645507,500,18,অর্থনৈতিক প্রবৃদ্ধি,pre_filter,1.0,1.0,10,10,0.0006166748889985335,2031.8724910030141,2086.701579147484
uncorrelated,0.4993837051645507,500,18,অর্থনৈতিক প্রবৃদ্ধি,post_filter,0.6,0.6,6,10,0.0006166748889985335,5.487066053319722,6.405745533993468
uncorrelated,0.4993837051645507,500,18,অর্থনৈতিক প্রবৃদ্ধি,over_fetch,1.0,1.0,10,100,0.0006166748889985335,4.842843976803124,5.128776730271056
uncorrelated,0.4993837051645507,500,18,অর্থনৈতিক প্রবৃদ্ধি,iterative,1.0,1.0,10,20,0.0006166748889985335,9.197973005939275,9.355501813115552
uncorrelated,0.4993837051645507,500,19,বিনিয়োগ বাজার,pre_filter,1.0,1.0,10,10,-0.01979173745931786,1974.0277910022996,2019.4491593225393
